paper_id,collection,journal,source_md_path,doi,title,title_norm,authors,first_author_norm,year,bibtex
paper_d0f53d16f62f,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811788369129373697_10.1007%2Fs10107-010-0362-x.fixed.md,10.1007/s10107-010-0362-x,Two row mixed-integer cuts via lifting,two row mixed integer cuts via lifting,Santanu S. Dey; Laurence A. Wolsey,dey,2010.0,"@article{Dey_2010, title={Two row mixed-integer cuts via lifting}, volume={124}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0362-x}, DOI={10.1007/s10107-010-0362-x}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Dey, Santanu S. and Wolsey, Laurence A.}, year={2010}, month=may, pages={143–174} }"
paper_1a4ac9a4bdad,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811788627100041216_10.1007%2Fs10107-010-0371-9.fixed.md,10.1007/s10107-010-0371-9,Convex relaxations of non-convex mixed integer quadratically constrained programs: extended formulations,convex relaxations of non convex mixed integer quadratically constrained programs extended formulations,Anureet Saxena; Pierre Bonami; Jon Lee,saxena,2010.0,"@article{Saxena_2010, title={Convex relaxations of non-convex mixed integer quadratically constrained programs: extended formulations}, volume={124}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0371-9}, DOI={10.1007/s10107-010-0371-9}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Saxena, Anureet and Bonami, Pierre and Lee, Jon}, year={2010}, month=may, pages={383–411} }"
paper_9f19ec309afc,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811788643826925569_10.1007%2Fs10107-010-0382-6.fixed.md,10.1007/s10107-010-0382-6,$n$-step mingling inequalities: new facets for the mixed-integer knapsack set,n step mingling inequalities new facets for the mixed integer knapsack set,Alper Atamturk; Kiavash Kianfar,atamturk,2010.0,"@article{Atamt_rk_2010, title={n-step mingling inequalities: new facets for the mixed-integer knapsack set}, volume={132}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0382-6}, DOI={10.1007/s10107-010-0382-6}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Atamtürk, Alper and Kianfar, Kiavash}, year={2010}, month=may, pages={79–98} }"
paper_b892bc635a01,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811788881421664256_10.1007%2Fs10107-010-0357-7.fixed.md,10.1007/s10107-010-0357-7,New techniques for cost sharing in combinatorial optimization games,new techniques for cost sharing in combinatorial optimization games,Alberto Caprara; Adam N. Letchford,caprara,2010.0,"@article{Caprara_2010, title={New techniques for cost sharing in combinatorial optimization games}, volume={124}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0357-7}, DOI={10.1007/s10107-010-0357-7}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Caprara, Alberto and Letchford, Adam N.}, year={2010}, month=may, pages={93–118} }"
paper_41500e108c1e,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811789212901703681_10.1007%2Fs10107-010-0385-3.fixed.md,10.1007/s10107-010-0385-3,On mixing sets arising in chance-constrained programming,on mixing sets arising in chance constrained programming,Simge Kucukyavuz,kucukyavuz,2010.0,"@article{K_kyavuz_2010, title={On mixing sets arising in chance-constrained programming}, volume={132}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0385-3}, DOI={10.1007/s10107-010-0385-3}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Küçükyavuz, Simge}, year={2010}, month=may, pages={31–56} }"
paper_9c3dd8eb7ac3,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811789484407390209_10.1007%2Fs10107-010-0383-5.fixed.md,10.1007/s10107-010-0383-5,Alternatives for testing total dual integrality,alternatives for testing total dual integrality,Edwin O'Shea; Andr谩s Seb艖,o shea,2010.0,"@article{O_Shea_2010, title={Alternatives for testing total dual integrality}, volume={132}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0383-5}, DOI={10.1007/s10107-010-0383-5}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={O’Shea, Edwin and Sebö, András}, year={2010}, month=may, pages={57–78} }"
paper_fb70fc212549,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811790784314474500_10.1007%2Fs10107-010-0353-y.fixed.md,10.1007/s10107-010-0353-y,Semidefinite programming for min-max problems and games,semidefinite programming for min max problems and games,R. Laraki; J. B. Lasserre,laraki,2010.0,"@article{Laraki_2010, title={Semidefinite programming for min–max problems and games}, volume={131}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0353-y}, DOI={10.1007/s10107-010-0353-y}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Laraki, R. and Lasserre, J. B.}, year={2010}, month=may, pages={305–332} }"
paper_6ce4d0127f4c,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811790931794591745_10.1007%2Fs10107-010-0351-0.fixed.md,10.1007/s10107-010-0351-0,Reformulations in mathematical programming: automatic symmetry detection and exploitation,reformulations in mathematical programming automatic symmetry detection and exploitation,Leo Liberti,liberti,2010.0,"@article{Liberti_2010, title={Reformulations in mathematical programming: automatic symmetry detection and exploitation}, volume={131}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0351-0}, DOI={10.1007/s10107-010-0351-0}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Liberti, Leo}, year={2010}, month=may, pages={273–304} }"
paper_2876e1a27eed,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811791207347781632_10.1007%2Fs10107-010-0377-3.fixed.md,10.1007/s10107-010-0377-3,Speeding up IP-based algorithms for constrained quadratic 0-1 optimization,speeding up ip based algorithms for constrained quadratic 0 1 optimization,Christoph Buchheim; Frauke Liers; Marcus Oswald,buchheim,2010.0,"@article{Buchheim_2010, title={Speeding up IP-based algorithms for constrained quadratic 0–1 optimization}, volume={124}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0377-3}, DOI={10.1007/s10107-010-0377-3}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Buchheim, Christoph and Liers, Frauke and Oswald, Marcus}, year={2010}, month=may, pages={513–535} }"
paper_107d38183f91,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811792080517988352_10.1007%2Fs10107-010-0359-5.fixed.md,10.1007/s10107-010-0359-5,Separation algorithms for 0-1 knapsack polytopes,separation algorithms for 0 1 knapsack polytopes,Konstantinos Kaparis; Adam N. Letchford,kaparis,2010.0,"@article{Kaparis_2010, title={Separation algorithms for 0-1 knapsack polytopes}, volume={124}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0359-5}, DOI={10.1007/s10107-010-0359-5}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Kaparis, Konstantinos and Letchford, Adam N.}, year={2010}, month=may, pages={69–91} }"
paper_aab5f5739cf4,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811792546966536192_10.1007%2Fs10107-010-0364-8.fixed.md,10.1007/s10107-010-0364-8,Approximating a class of combinatorial problems with rational objective function,approximating a class of combinatorial problems with rational objective function,Jose R. Correa; Cristina G. Fernandes; Yoshiko Wakabayashi,correa,2010.0,"@article{Correa_2010, title={Approximating a class of combinatorial problems with rational objective function}, volume={124}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0364-8}, DOI={10.1007/s10107-010-0364-8}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Correa, José R. and Fernandes, Cristina G. and Wakabayashi, Yoshiko}, year={2010}, month=may, pages={255–269} }"
paper_71566857707c,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811794652721053697_10.1007%2Fs10107-010-0344-z.fixed.md,10.1007/s10107-010-0344-z,Graph realizations associated with minimizing the maximum eigenvalue of the Laplacian,graph realizations associated with minimizing the maximum eigenvalue of the laplacian,Frank Goring; Christoph Helmberg; Susanna Reiss,goring,2010.0,"@article{G_ring_2010, title={Graph realizations associated with minimizing the maximum eigenvalue of the Laplacian}, volume={131}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0344-z}, DOI={10.1007/s10107-010-0344-z}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Göring, Frank and Helmberg, Christoph and Reiss, Susanna}, year={2010}, month=apr, pages={95–111} }"
paper_1d908909832a,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811794764386009089_10.1007%2Fs10107-010-0348-8.fixed.md,10.1007/s10107-010-0348-8,A FPTAS for computing a symmetric Leontief competitive economy equilibrium,a fptas for computing a symmetric leontief competitive economy equilibrium,Zhisu Zhu; Chuangyin Dang; Yinyu Ye,zhu,2010.0,"@article{Zhu_2010, title={A FPTAS for computing a symmetric Leontief competitive economy equilibrium}, volume={131}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0348-8}, DOI={10.1007/s10107-010-0348-8}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Zhu, Zhisu and Dang, Chuangyin and Ye, Yinyu}, year={2010}, month=apr, pages={113–129} }"
paper_f111a36141d3,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811794817263599617_10.1007%2Fs10107-010-0347-9.fixed.md,10.1007/s10107-010-0347-9,Multicriteria optimization with a multiobjective golden section line search,multicriteria optimization with a multiobjective golden section line search,Douglas A. G. Vieira; Ricardo H. C. Takahashi; Rodney R. Saldanha,vieira,2010.0,"@article{Vieira_2010, title={Multicriteria optimization with a multiobjective golden section line search}, volume={131}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0347-9}, DOI={10.1007/s10107-010-0347-9}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Vieira, Douglas A. G. and Takahashi, Ricardo H. C. and Saldanha, Rodney R.}, year={2010}, month=apr, pages={131–161} }"
paper_95f67df37883,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811794864160112641_10.1007%2Fs10107-010-0352-z.fixed.md,10.1007/s10107-010-0352-z,Binary positive semidefinite matrices and associated integer polytopes,binary positive semidefinite matrices and associated integer polytopes,Adam N. Letchford; Michael M. S酶rensen,letchford,2010.0,"@article{Letchford_2010, title={Binary positive semidefinite matrices and associated integer polytopes}, volume={131}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0352-z}, DOI={10.1007/s10107-010-0352-z}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Letchford, Adam N. and Sørensen, Michael M.}, year={2010}, month=apr, pages={253–271} }"
paper_cca1aa2a7f71,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811795054489239554_10.1007%2Fs10107-010-0346-x.fixed.md,10.1007/s10107-010-0346-x,Robust smoothed analysis of a condition number for linear programming,robust smoothed analysis of a condition number for linear programming,Peter B眉rgisser; Dennis Amelunxen,b rgisser,2010.0,"@article{B_rgisser_2010, title={Robust smoothed analysis of a condition number for linear programming}, volume={131}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0346-x}, DOI={10.1007/s10107-010-0346-x}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Bürgisser, Peter and Amelunxen, Dennis}, year={2010}, month=apr, pages={221–251} }"
